Timestamp,LocomotiveId,SpeedKmh,Temperature,Pressure,FuelOrVoltage,HealthScore,HealthGrade
2026-04-05T03:29:39.6225320,KZ8A-003,76.25,63.79,0.639,24.97,88,B
2026-04-05T03:29:44.6230630,KZ8A-003,75.90,63.85,0.642,24.88,88,B
2026-04-05T03:29:49.6242220,KZ8A-003,76.66,63.79,0.644,24.90,88,B
2026-04-05T03:29:54.6228270,KZ8A-003,75.83,64.09,0.642,24.93,88,B
2026-04-05T03:29:59.6223230,KZ8A-003,75.53,64.33,0.642,24.89,88,B
2026-04-05T03:30:04.6222040,KZ8A-003,75.00,64.34,0.642,25.12,88,B
2026-04-05T03:30:09.6227190,KZ8A-003,74.22,64.43,0.639,25.18,88,B
2026-04-05T03:30:14.6217990,KZ8A-003,73.79,64.82,0.639,25.20,88,B
2026-04-05T03:30:19.6279220,KZ8A-003,74.19,64.82,0.642,25.25,88,B
2026-04-05T03:30:28.7400620,KZ8A-003,68.86,57.04,0.684,26.22,90,A
2026-04-05T03:30:33.7443510,KZ8A-003,69.85,56.79,0.680,26.40,91,A
2026-04-05T03:30:38.7400690,KZ8A-003,70.66,56.69,0.680,26.26,90,A
2026-04-05T03:30:43.7383500,KZ8A-003,70.64,56.46,0.680,26.45,91,A
2026-04-05T03:30:48.7399330,KZ8A-003,71.07,56.51,0.682,26.58,91,A
2026-04-05T03:30:53.7397220,KZ8A-003,70.46,56.28,0.679,26.46,91,A
2026-04-05T03:30:58.7392250,KZ8A-003,71.76,56.37,0.677,26.45,91,A
2026-04-05T03:31:03.7393260,KZ8A-003,71.05,56.45,0.679,26.41,91,A
2026-04-05T03:31:08.7384320,KZ8A-003,71.05,56.29,0.681,26.38,91,A
2026-04-05T03:31:13.7395790,KZ8A-003,71.51,56.13,0.681,26.34,91,A
2026-04-05T03:31:18.7383530,KZ8A-003,72.13,56.23,0.678,26.32,90,A
2026-04-05T03:31:23.7399650,KZ8A-003,72.68,56.03,0.678,26.32,90,A
2026-04-05T03:31:28.7391250,KZ8A-003,72.68,55.79,0.680,26.29,91,A
2026-04-05T03:31:33.7390160,KZ8A-003,72.56,56.04,0.679,26.19,90,A
2026-04-05T03:31:38.7390700,KZ8A-003,72.41,56.13,0.681,26.09,90,A
2026-04-05T03:31:43.7391580,KZ8A-003,72.28,56.00,0.679,26.11,90,A
2026-04-05T03:31:48.7386800,KZ8A-003,70.54,56.19,0.682,26.11,90,A
2026-04-05T03:31:53.7391930,KZ8A-003,70.35,55.99,0.679,26.14,90,A
2026-04-05T03:31:58.7394030,KZ8A-003,70.49,56.05,0.677,26.14,90,A
2026-04-05T03:32:03.7391550,KZ8A-003,71.08,56.27,0.679,26.09,90,A
2026-04-05T03:32:08.7395770,KZ8A-003,72.28,56.40,0.679,26.08,90,A
2026-04-05T03:32:13.7394990,KZ8A-003,72.95,56.67,0.675,26.09,90,A
2026-04-05T03:32:18.7388420,KZ8A-003,76.10,56.65,0.680,26.00,90,A
2026-04-05T03:32:23.7569390,KZ8A-003,75.46,56.71,0.683,25.98,90,A
2026-04-05T03:32:28.7385540,KZ8A-003,75.35,56.76,0.685,25.90,90,A
2026-04-05T03:32:33.7383210,KZ8A-003,75.30,56.87,0.683,25.94,90,A
2026-04-05T03:32:38.7385060,KZ8A-003,76.55,56.83,0.688,26.09,90,A
2026-04-05T03:32:43.7381630,KZ8A-003,76.73,56.78,0.689,26.04,90,A
2026-04-05T03:32:48.7393310,KZ8A-003,76.51,56.77,0.688,26.10,90,A
2026-04-05T03:32:53.7382480,KZ8A-003,76.60,56.82,0.688,26.24,90,A
2026-04-05T03:32:58.7386590,KZ8A-003,77.13,56.62,0.691,26.22,90,A
2026-04-05T03:33:03.7385580,KZ8A-003,77.59,56.44,0.694,26.21,90,A
2026-04-05T03:33:08.7376830,KZ8A-003,77.92,56.37,0.695,26.15,90,A
2026-04-05T03:33:13.7381750,KZ8A-003,77.49,56.39,0.696,26.19,90,A
2026-04-05T03:33:18.7391970,KZ8A-003,78.24,56.52,0.698,26.17,90,A
2026-04-05T03:33:23.7607960,KZ8A-003,79.02,56.39,0.703,26.23,91,A
2026-04-05T03:33:29.7382080,KZ8A-003,79.58,56.41,0.705,26.27,91,A
2026-04-05T03:33:34.7375710,KZ8A-003,80.74,56.50,0.705,26.35,91,A
