Время;ID локомотива;Тип;Скорость, км/ч;Давление тормозной, МПа;Давление главных резервуаров, МПа;Ток ТЭД, А;Пробег рейса, км;Боксование;Кол-во ошибок;Температура масла, °C;Температура ОЖ, °C;Давление масла, МПа;Давление ОЖ, МПа;Уровень топлива, %;Обороты дизеля, об/мин;Моточасы, ч;Давление воздушного фильтра, кПа;Топливо бак 1, %;Топливо бак 2, %;Расход топлива, л/ч;Суммарный расход, л;Режим двигателя;Тяговое усилие ТЭ33А, кН;Температура трансформатора, °C;Температура ТЭД, °C;Температура IGBT, °C;Напряжение КС, кВ;Ток КС, А;Тяговое усилие, кН;Мощность на валу, кВт;cos φ;Давление тормозных цилиндров, МПа;Health Score;Grade
2026-04-05 03:48:04;TE33A-003;TE33A;79.14;0.622;0.795;495.2;0.629;нет;0;71.9;77.2;0.730;0.146;77.3;810;4034.2;96.7;42.4;34.7;156.3;579.2;Optimal;228.2;;;;;;;;;;89;B
2026-04-05 03:48:09;TE33A-003;TE33A;78.08;0.623;0.795;496.9;0.651;нет;0;71.9;77.2;0.731;0.146;77.3;814;4034.2;96.7;42.6;34.8;155.9;579.3;Optimal;226.1;;;;;;;;;;89;B
2026-04-05 03:48:14;TE33A-003;TE33A;78.48;0.622;0.795;504.4;0.673;нет;0;71.9;77.1;0.729;0.146;77.3;814;4034.2;96.5;42.5;34.8;156.2;579.3;Optimal;231.1;;;;;;;;;;89;B
2026-04-05 03:48:19;TE33A-003;TE33A;78.02;0.622;0.794;491.6;0.694;нет;0;71.9;77.2;0.724;0.145;77.3;814;4034.2;96.5;42.5;34.7;158.0;579.3;Optimal;226.9;;;;;;;;;;89;B
2026-04-05 03:48:24;TE33A-003;TE33A;77.85;0.626;0.793;502.3;0.716;нет;0;71.8;77.3;0.726;0.146;77.3;816;4034.2;96.7;42.3;34.7;155.1;579.4;Optimal;225.7;;;;;;;;;;89;B
2026-04-05 03:48:29;TE33A-003;TE33A;77.15;0.626;0.794;503.3;0.737;нет;0;71.9;77.3;0.730;0.146;77.3;814;4034.2;96.8;42.4;34.8;155.5;579.4;Optimal;226.7;;;;;;;;;;89;B
2026-04-05 03:48:34;TE33A-003;TE33A;78.39;0.624;0.793;501.2;0.759;нет;0;71.9;77.4;0.730;0.144;77.3;816;4034.2;96.8;42.5;34.8;153.6;579.5;Optimal;231.1;;;;;;;;;;89;B
2026-04-05 03:48:39;TE33A-003;TE33A;79.10;0.623;0.791;509.2;0.781;нет;0;72.2;77.4;0.731;0.145;77.3;812;4034.2;96.6;42.4;34.8;153.1;579.5;Optimal;232.2;;;;;;;;;;89;B
2026-04-05 03:48:44;TE33A-003;TE33A;79.62;0.622;0.789;504.7;0.803;нет;0;72.1;77.4;0.726;0.145;77.3;809;4034.2;96.6;42.7;34.7;154.5;579.6;Optimal;233.8;;;;;;;;;;89;B
2026-04-05 03:48:49;TE33A-003;TE33A;79.29;0.621;0.788;503.8;0.826;нет;0;72.1;77.2;0.722;0.143;77.3;812;4034.2;96.6;42.5;34.8;152.8;579.6;Optimal;227.9;;;;;;;;;;89;B
2026-04-05 03:48:54;TE33A-003;TE33A;78.48;0.621;0.789;498.3;0.847;нет;0;71.9;77.2;0.733;0.144;77.3;808;4034.2;96.6;42.4;34.8;154.6;579.6;Optimal;227.0;;;;;;;;;;89;B
2026-04-05 03:48:59;TE33A-003;TE33A;78.71;0.621;0.789;500.6;0.869;нет;0;71.9;77.3;0.737;0.144;77.3;810;4034.2;96.6;42.4;34.8;152.8;579.7;Optimal;228.7;;;;;;;;;;89;B
2026-04-05 03:49:04;TE33A-003;TE33A;78.53;0.623;0.788;495.9;0.891;нет;0;72.0;77.3;0.726;0.143;77.3;810;4034.3;96.6;42.4;34.7;152.4;579.7;Optimal;229.6;;;;;;;;;;89;B
2026-04-05 03:49:09;TE33A-003;TE33A;78.78;0.620;0.788;493.8;0.913;нет;0;72.3;77.3;0.723;0.141;77.3;808;4034.3;96.6;42.5;34.7;153.4;579.8;Optimal;229.3;;;;;;;;;;89;B
2026-04-05 03:49:14;TE33A-003;TE33A;77.88;0.624;0.787;494.3;0.934;нет;0;72.4;77.4;0.729;0.141;77.3;804;4034.3;96.7;42.4;34.8;153.3;579.8;Optimal;227.8;;;;;;;;;;89;B
2026-04-05 03:49:19;TE33A-003;TE33A;77.20;0.624;0.789;496.4;0.956;нет;0;72.3;77.5;0.731;0.140;77.3;804;4034.3;96.7;42.5;34.8;153.8;579.9;Optimal;226.8;;;;;;;;;;89;B
2026-04-05 03:49:24;TE33A-003;TE33A;77.37;0.628;0.788;500.4;0.977;нет;0;72.6;77.4;0.723;0.141;77.3;804;4034.3;96.6;42.5;34.8;153.0;579.9;Optimal;224.5;;;;;;;;;;89;B
2026-04-05 03:49:29;TE33A-003;TE33A;77.93;0.629;0.788;502.8;0.999;нет;0;72.7;77.5;0.725;0.141;77.3;807;4034.3;96.5;42.7;34.8;153.9;579.9;Optimal;228.4;;;;;;;;;;89;B
2026-04-05 03:49:34;TE33A-003;TE33A;76.86;0.630;0.789;501.6;1.020;нет;0;72.8;77.5;0.728;0.142;77.2;806;4034.3;96.6;42.5;34.7;154.3;580.0;Optimal;223.4;;;;;;;;;;89;B
2026-04-05 03:49:39;TE33A-003;TE33A;77.47;0.629;0.788;507.9;1.042;нет;0;73.7;77.4;0.727;0.142;77.2;808;4034.3;96.5;42.2;34.7;154.0;580.0;Optimal;228.2;;;;;;;;;;89;B
2026-04-05 03:49:44;TE33A-003;TE33A;75.93;0.632;0.788;497.1;1.062;нет;1;75.6;77.5;0.723;0.141;77.2;805;4034.3;96.5;42.3;34.8;154.5;580.1;Optimal;222.8;;;;;;;;;;89;B
2026-04-05 03:49:49;TE33A-003;TE33A;76.15;0.631;0.790;500.2;1.084;нет;0;77.4;77.4;0.716;0.141;77.2;801;4034.3;96.5;42.4;34.7;154.4;580.1;Optimal;221.3;;;;;;;;;;89;B
2026-04-05 03:49:54;TE33A-003;TE33A;77.41;0.633;0.792;497.5;1.105;нет;0;78.1;77.4;0.712;0.139;77.2;799;4034.3;96.4;42.5;34.6;151.3;580.2;Optimal;226.0;;;;;;;;;;89;B
2026-04-05 03:49:59;TE33A-003;TE33A;76.90;0.631;0.792;499.4;1.127;нет;0;78.0;77.3;0.715;0.139;77.2;801;4034.3;96.5;42.4;34.8;152.7;580.2;Optimal;224.3;;;;;;;;;;89;B
2026-04-05 03:50:04;TE33A-003;TE33A;77.87;0.631;0.792;505.2;1.148;нет;0;77.8;77.3;0.718;0.138;77.2;798;4034.3;96.6;42.7;34.6;151.7;580.2;Optimal;229.9;;;;;;;;;;89;B
